GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maxur-mserv-core,org.maxur.mserv.core.service.hk2,PropertiesInjectionResolver,223,0,22,0,31,0,19,0,8,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.PropertiesInjectionResolverBinder,15,0,0,0,5,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.ServiceProvider.locator.new Function0() {...},12,0,0,0,1,0,3,0,3,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.ServiceProvider,82,0,0,0,5,0,7,0,7,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,ErrorHandler,42,0,2,0,7,0,6,0,5,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.ServiceProvider.result.new Function0() {...},15,0,0,0,1,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl,179,0,4,0,18,0,11,0,9,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.PropertiesInjectionResolverBinder.configure.new TypeLiteral() {...},3,0,0,0,1,0,1,0,1,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorHK2Impl,304,0,12,0,28,0,24,0,18,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.ServiceBinder,56,0,2,0,7,0,5,0,4,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.ObjectMapperBinder,12,0,0,0,5,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,PropertiesInjectionResolver.Companion,5,0,0,0,2,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,ErrorHandler.Companion,5,0,0,0,2,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.LocatorBinder,12,0,0,0,5,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.locator.new Function0() {...},75,0,8,0,9,0,6,0,2,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.ResponseWriter.suspend.new TimeoutHandler() {...},21,0,2,0,2,0,3,0,2,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler,236,0,20,0,28,0,17,0,7,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.JarResource,319,0,32,0,43,0,28,0,12,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.GrizzlyBinder,48,0,0,0,10,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.Resource.NonBlockingDownloadHandler,282,0,28,0,65,0,23,0,9,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.ResponseTYPE.new TypeLiteral() {...},3,0,0,0,1,0,1,0,1,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,WebServerGrizzlyFactoryImpl.Companion,7,0,0,0,3,0,3,0,3,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.Companion,5,0,0,0,2,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.Companion,5,0,0,0,2,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.GrizzlyResponseReferencingFactory,7,0,0,0,1,0,1,0,1,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.ResourceLocator,386,0,39,0,51,0,26,0,6,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.RedirectedResource,47,0,0,0,7,0,5,0,5,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.JarURLInputStream,34,0,0,0,6,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.ResponseWriter.EMPTY_COMPLETION_HANDLER.new CompletionHandler() {...},16,0,0,0,5,0,5,0,5,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.ResponseWriter,330,0,16,0,56,0,17,0,9,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.FileResource,75,0,6,0,9,0,8,0,5,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,WebServerGrizzlyImpl,338,0,18,0,60,0,23,0,14,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyRequestPropertiesDelegate,42,0,0,0,5,0,5,0,5,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.Resource,156,0,8,0,28,0,11,0,7,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.GrizzlyBinder.configure.new TypeLiteral() {...},3,0,0,0,1,0,1,0,1,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.GrizzlyBinder.configure.new TypeLiteral() {...},3,0,0,0,1,0,1,0,1,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.getSecurityContext.new SecurityContext() {...},29,0,0,0,5,0,5,0,5,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.BundleResource,120,0,6,0,12,0,13,0,10,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.FileRoot,34,0,0,0,3,0,4,0,4,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer,447,0,40,0,73,0,38,0,18,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.service.new RequestScopedInitializer() {...},35,0,0,0,3,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.CLRoot,188,0,20,0,18,0,18,0,7,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.UnknownResource,68,0,0,0,7,0,8,0,8,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.RequestTYPE.new TypeLiteral() {...},3,0,0,0,1,0,1,0,1,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.CLFileResource,75,0,4,0,9,0,8,0,6,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,WebServerGrizzlyFactoryImpl,285,0,14,0,46,0,15,0,8,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.GrizzlyRequestReferencingFactory,7,0,0,0,1,0,1,0,1,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesFactoryHoconImpl.make.new Function0() {...},13,0,0,0,1,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesSource.Companion.default.1.new PropertiesSource() {...},8,0,0,0,1,0,1,0,1,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesFactoryHoconImpl,13,0,0,0,2,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesSource.Companion.open.new PropertiesSource() {...},15,0,0,0,1,0,1,0,1,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesFactory,3,0,0,0,1,0,1,0,1,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesFactoryYamlImpl,13,0,0,0,2,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesFactoryJsonImpl.make.new Function0() {...},17,0,0,0,1,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesSourceHoconImpl.asLong.new Function1() {...},15,0,0,0,1,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,NullProperties,89,0,0,0,7,0,10,0,10,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesFactoryYamlImpl.make.new Function0() {...},18,0,0,0,1,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,Properties.DefaultImpls,61,0,8,0,4,0,6,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesSourceHoconImpl,450,0,47,0,51,0,37,0,13,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesSourceJacksonImpl,307,0,27,0,29,0,25,0,11,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesSourceHoconImpl.asInteger.new Function1() {...},15,0,0,0,1,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesSourceHoconImpl.asString.new Function1() {...},15,0,0,0,1,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesSource.Companion,136,0,12,0,22,0,10,0,4,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesSource,35,0,0,0,4,0,6,0,6,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesSourceHoconImpl.asObject.new Function1() {...},15,0,0,0,1,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.service.properties,PropertiesFactoryJsonImpl,13,0,0,0,2,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core,BaseMicroService.postpone.pool.new ThreadFactory() {...},17,0,0,0,3,0,3,0,3,0
maxur-mserv-core,org.maxur.mserv.core,Locator.DefaultImpls,125,0,4,0,14,0,12,0,10,0
maxur-mserv-core,org.maxur.mserv.core,Locator.Companion,92,0,2,0,13,0,12,0,11,0
maxur-mserv-core,org.maxur.mserv.core,BaseMicroService.postpone.new Runnable() {...},13,0,0,0,3,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core,BaseMicroService.deferredRestart.new Function0() {...},11,0,0,0,1,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core,BaseMicroService,95,0,2,0,19,0,12,0,11,0
maxur-mserv-core,org.maxur.mserv.core,BaseMicroService.new Thread() {...},10,0,0,0,3,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core,Locator,6,0,0,0,0,0,1,0,1,0
