GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maxur-mserv-core,org.maxur.mserv.core.service.hk2,PropertiesInjectionResolver,202,21,22,0,29,2,17,2,6,2
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.PropertiesInjectionResolverBinder,0,15,0,0,0,5,0,2,0,2
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.ServiceProvider.locator.new Function0() {...},0,12,0,0,0,1,0,3,0,3
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.ServiceProvider,1,81,0,0,1,4,1,6,1,6
maxur-mserv-core,org.maxur.mserv.core.service.hk2,ErrorHandler,11,31,1,1,1,6,2,4,1,4
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.ServiceProvider.result.new Function0() {...},0,15,0,0,0,1,0,2,0,2
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl,13,166,2,2,0,18,3,8,1,8
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.PropertiesInjectionResolverBinder.configure.new TypeLiteral() {...},0,3,0,0,0,1,0,1,0,1
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorHK2Impl,132,172,2,10,7,21,12,12,11,7
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.ServiceBinder,6,50,0,2,0,7,2,3,2,2
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.ObjectMapperBinder,0,12,0,0,0,5,0,2,0,2
maxur-mserv-core,org.maxur.mserv.core.service.hk2,PropertiesInjectionResolver.Companion,2,3,0,0,1,1,1,1,1,1
maxur-mserv-core,org.maxur.mserv.core.service.hk2,ErrorHandler.Companion,0,5,0,0,0,2,0,2,0,2
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.LocatorBinder,0,12,0,0,0,5,0,2,0,2
maxur-mserv-core,org.maxur.mserv.core.service.hk2,LocatorFactoryHK2Impl.locator.new Function0() {...},56,19,6,2,6,3,4,2,0,2
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.ResponseWriter.suspend.new TimeoutHandler() {...},21,0,2,0,2,0,3,0,2,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler,46,190,11,9,9,19,10,7,2,5
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.JarResource,123,196,20,12,15,28,20,8,4,8
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,GrizzlyHttpContainer.GrizzlyBinder,48,0,0,0,10,0,2,0,2,0
maxur-mserv-core,org.maxur.mserv.core.embedded.grizzly,StaticHttpHandler.Resource.NonBlockingDownloadHandler,245,37,28,0,63,2,22,1,8,1
